nct_id,num_drugs,has_immuno,has_chemo,has_targeted,num_genes,has_biomarker,phase,sponsor_category
NCT03367689,1,0,0,1,0,0,,Other
NCT04095689,3,1,1,0,0,0,,Academic
NCT02657889,2,1,0,0,0,0,,Other
NCT04510129,1,0,0,0,0,0,,Other
NCT05544929,2,1,0,0,0,0,,Industry
NCT04032080,1,0,0,0,0,0,,Academic
NCT06125080,3,0,0,1,0,0,,Other
NCT06635980,12,0,0,0,0,0,,Other
NCT06954480,2,0,0,0,0,0,,Academic
NCT05645380,5,1,1,0,0,0,,Academic
NCT05552001,1,0,0,0,0,0,,Other
NCT02488967,5,0,1,0,0,0,,Other
NCT06926868,6,0,1,0,0,0,,Other
NCT03332368,1,0,0,0,0,0,,Other
NCT06099769,3,0,0,0,0,0,,Other
NCT02993068,5,0,0,0,0,0,,Other
NCT04368468,1,0,0,0,0,0,,Other
NCT05953168,1,0,0,0,0,0,,Academic
NCT05893368,1,0,0,0,0,0,,Other
NCT02630368,4,0,0,0,0,0,,Other
NCT04755868,2,0,0,0,0,0,,Academic
NCT00912444,2,0,0,0,0,0,,Academic
NCT04445844,4,0,0,0,0,0,,Other
NCT06631092,1,0,0,0,0,0,,Other
NCT01910844,2,0,1,0,0,0,,Other
NCT01461044,0,0,0,0,0,0,,Industry
NCT06562192,2,0,0,0,0,0,,Industry
NCT07040644,3,0,0,0,0,0,,Academic
NCT05081492,1,0,0,0,0,0,,Other
NCT04517292,2,0,0,0,0,0,,Academic
NCT05464082,1,0,0,0,0,0,,Academic
NCT02819882,1,0,0,0,0,0,,Other
NCT01434420,1,0,0,0,0,0,,Other
NCT04118062,4,0,0,0,0,0,,Other
NCT06534762,1,0,0,0,0,0,,Academic
NCT04734262,3,0,0,0,0,0,,Academic
NCT02365662,1,0,0,0,0,0,,Other
NCT06259162,1,0,0,0,0,0,,Other
NCT01693562,1,0,0,0,0,0,,Other
NCT02071862,6,0,0,0,0,0,,Other
NCT05769491,0,0,0,0,0,0,,Other
NCT04362462,0,0,0,0,0,0,,Academic
NCT01307891,2,0,0,0,0,0,,Academic
NCT04706962,1,0,0,0,0,0,,Other
NCT03808662,2,0,0,0,0,0,,Other
NCT01232062,0,0,0,0,0,0,,Academic
NCT02624973,16,0,0,0,0,0,,Academic
NCT03739931,2,0,0,0,0,0,,Other
NCT07017673,3,0,1,0,0,0,,Other
NCT06735131,7,0,0,0,0,0,,Academic
NCT05460273,1,0,0,0,0,0,,Industry
NCT06358573,2,0,0,0,0,0,,Other
NCT04373031,2,1,0,0,0,0,,Other
NCT02338531,2,0,0,0,0,0,,Academic
NCT02260531,2,0,0,1,0,0,,Academic
NCT05086731,5,0,0,0,0,0,,Academic
NCT01750073,7,0,1,1,0,0,,Academic
NCT04725331,2,0,0,0,0,0,,Other
NCT02365831,1,0,0,0,0,0,,Other
NCT02993094,2,0,1,0,0,0,,Other
NCT06691594,1,0,0,0,0,0,,Academic
NCT02599194,2,0,0,0,0,0,,Other
NCT03564691,8,1,1,0,0,0,,Other
NCT05000294,2,1,0,0,0,0,,Academic
NCT05422794,7,1,0,0,0,0,,Academic
NCT03328494,2,0,1,0,0,0,,Other
NCT05983094,5,0,1,1,0,0,,Academic
NCT04750382,1,0,0,0,0,0,,Other
NCT06700382,1,0,0,0,0,0,,Other
NCT05492682,3,1,0,0,0,0,,Other
NCT03621982,2,1,0,0,0,0,,Other
NCT05076682,4,0,0,0,0,0,,Academic
NCT03970382,3,1,0,0,0,0,,Other
NCT02227082,2,0,0,1,0,0,,Academic
NCT03243331,2,0,0,0,0,0,,Other
NCT03576131,1,0,0,0,0,0,,Other
NCT05627960,1,0,0,0,0,0,,Other
NCT02929576,3,0,1,0,0,0,,Industry
NCT06938373,0,0,0,0,0,0,,Academic
NCT06235931,1,0,0,0,0,0,,Academic
NCT06649331,4,0,0,0,0,0,,Academic
NCT03992131,3,0,0,0,0,0,,Other
NCT03241173,3,1,0,0,0,0,,Other
NCT04556773,7,0,1,0,0,0,,Industry
NCT06305962,1,0,0,0,0,0,,Other
NCT02536794,4,0,0,0,0,0,,Academic
